,City,Lat,Lng,temp,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
315,luanda,-8.84,13.23,71.6,75,AO,1592438481,94,71.6,2.24
316,bhadrachalam,17.67,80.88,80.22,100,IN,1592438691,81,80.22,4.54
317,gizo,-8.1,156.84,83.62,95,SB,1592438691,77,83.62,10.4
318,hasaki,35.73,140.83,73.99,75,JP,1592438692,78,73.99,6.93
319,yerofey pavlovich,53.97,121.97,60.12,96,RU,1592438692,51,60.12,7.58
320,bilma,18.69,12.92,84.56,9,NE,1592438692,14,84.56,3.62
321,shingu,33.73,135.98,71.6,75,JP,1592438692,68,71.6,8.05
322,hofn,64.25,-15.21,48.15,5,IS,1592438571,68,48.15,8.55
323,namatanai,-3.67,152.43,83.43,60,PG,1592438692,73,83.43,9.66
324,lagoa,39.05,-27.98,63.0,85,PT,1592438534,80,63.0,8.55
325,la espigadilla,7.88,-80.38,80.64,57,PA,1592438692,84,80.64,1.61
326,alenquer,-1.94,-54.74,79.48,79,BR,1592438693,78,79.48,2.33
327,young,-32.68,-57.63,70.81,100,UY,1592438465,75,70.81,15.08
328,santa rosa,14.31,121.11,89.01,20,PH,1592438473,66,89.01,2.24
329,sibenik,43.73,15.91,68.0,9,HR,1592438693,82,68.0,3.36
330,oyama,36.3,139.8,69.8,75,JP,1592438693,73,69.8,2.24
331,vila velha,-20.33,-40.29,70.0,75,BR,1592438693,83,70.0,3.36
332,tirumullaivasal,11.23,79.83,83.89,96,IN,1592438693,66,83.89,8.08
333,qiongshan,20.01,110.35,80.6,0,CN,1592438693,88,80.6,6.71
334,pasighat,28.07,95.33,76.32,100,IN,1592438694,88,76.32,0.87
335,byron bay,-28.65,153.62,61.0,75,AU,1592438694,93,61.0,6.93
336,akyab,20.15,92.9,82.49,100,MM,1592438694,82,82.49,9.08
337,dir,35.21,71.88,67.78,0,PK,1592438694,27,67.78,7.83
338,caravelas,-17.71,-39.25,71.49,32,BR,1592438552,78,71.49,8.32
339,curup,-3.47,102.53,68.81,88,ID,1592438694,90,68.81,3.38
340,moron,-34.65,-58.62,75.2,90,AR,1592438694,60,75.2,12.75
341,caraballeda,10.61,-66.85,73.0,22,VE,1592438695,84,73.0,8.03
342,haputale,6.77,80.96,62.29,80,LK,1592438695,91,62.29,4.76
